date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
27-03-2020,20200327,0,0,0,0,0,0,0,0,1,0,1,https://sacoronavirus.co.za/2020/03/27/latest-confirmed-cases-of-covid-19-27th-march-2020/
28-03-2020,20200328,0,0,0,1,0,0,0,0,1,0,2,
30-03-2020,20200330,0,1,0,1,0,0,0,0,1,0,3,
31-03-2020,20200331,0,1,1,2,0,0,0,0,1,0,5,
03-04-2020,20200403,0,1,1,6,0,0,0,0,1,0,9,
05-04-2020,20200405,0,1,1,7,0,0,0,0,2,0,11,
06-04-2020,20200406,0,1,1,7,0,0,0,0,3,0,12,
07-04-2020,20200407,0,1,1,8,0,0,0,0,3,0,13,
08-04-2020,20200408,0,3,3,9,0,0,0,0,3,0,18,https://twitter.com/nicd_sa/status/1247960492389384193
09-04-2020,20200409,0,3,3,9,0,0,0,0,3,0,18,https://twitter.com/nicd_sa/status/1248337962934456329
10-04-2020,20200410,0,3,3,12,0,0,0,0,6,0,24,https://twitter.com/nicd_sa/status/1248595396613505026
11-04-2020,20200411,0,3,3,12,0,0,0,0,7,0,25,https://twitter.com/nicd_sa/status/1249028791642525698
12-04-2020,20200412,0,3,3,12,0,0,0,0,7,0,25,https://twitter.com/nicd_sa/status/1249388456427630593
13-04-2020,20200413,0,3,4,12,0,0,0,0,8,0,27,https://twitter.com/nicd_sa/status/1249759650804883459
14-04-2020,20200414,0,3,4,12,0,0,0,0,8,0,27,https://twitter.com/nicd_sa/status/1250055302340382724
15-04-2020,20200415,0,3,5,18,0,0,0,0,8,0,34,https://twitter.com/nicd_sa/status/1250476654432002048
16-04-2020,20200416,4,4,6,20,1,0,0,0,13,0,48,https://twitter.com/nicd_sa/status/1250865343976931328
17-04-2020,20200417,4,4,6,20,1,0,0,0,15,0,50,https://twitter.com/nicd_sa/status/1251215194765832194
18-04-2020,20200418,4,4,6,21,1,0,0,0,16,0,52,https://twitter.com/nicd_sa/status/1251595223534362625
19-04-2020,20200419,4,4,6,22,1,0,0,0,17,0,54,https://twitter.com/nicd_sa/status/1251927055224143875
20-04-2020,20200420,5,5,7,23,1,0,0,0,17,0,58,https://twitter.com/nicd_sa/status/1252309824412561408
21-04-2020,20200421,5,5,7,23,1,0,0,0,17,0,58,https://twitter.com/nicd_sa/status/1252643555690061824
22-04-2020,20200422,5,5,7,25,1,0,0,0,22,0,65,https://twitter.com/nicd_sa/status/1253033502930604032
23-04-2020,20200423,6,5,8,27,1,0,0,0,28,0,75,https://twitter.com/nicd_sa/status/1253374043111272450
24-04-2020,20200424,6,5,8,29,1,0,0,0,30,0,79,https://twitter.com/nicd_sa/status/1253769210301427713
25-04-2020,20200425,10,5,8,29,2,0,0,0,32,0,86,https://twitter.com/nicd_sa/status/1254115548125900800
26-04-2020,20200426,10,5,8,29,2,0,0,0,33,0,87,https://twitter.com/nicd_sa/status/1254483257514692610
27-04-2020,20200427,10,5,8,30,2,0,0,0,35,0,90,https://twitter.com/nicd_sa/status/1254860200126738432
28-04-2020,20200428,10,5,8,30,2,0,0,0,38,0,93,https://twitter.com/nicd_sa/status/1255208067551170564
29-04-2020,20200429,11,5,11,32,2,0,0,0,42,0,103,https://twitter.com/nicd_sa/status/1255601150222630914
30-04-2020,20200430,11,5,11,32,2,0,0,0,42,0,103,https://twitter.com/nicd_sa/status/1255921752112345088
01-05-2020,20200501,11,5,11,32,2,0,0,0,55,0,116,https://twitter.com/nicd_sa/status/1256322207392784384
02-05-2020,20200502,13,6,12,34,2,0,0,0,56,0,123,https://twitter.com/nicd_sa/status/1256648954743345152
03-05-2020,20200503,17,6,14,34,2,0,0,0,58,0,131,https://twitter.com/nicd_sa/status/1257006165889880069
04-05-2020,20200504,17,6,14,35,2,0,0,0,64,0,138,https://twitter.com/nicd_sa/status/1257381526964187137
05-05-2020,20200505,18,6,15,36,2,0,0,0,71,0,148,https://twitter.com/nicd_sa/status/1257760876435734528
06-05-2020,20200506,18,6,15,38,3,0,0,0,73,0,153,https://twitter.com/HealthZA/status/1258130333272244229
07-05-2020,20200507,18,6,15,40,3,0,0,0,79,0,161,https://twitter.com/nicd_sa/status/1258467153717714947
